TOTAL,ME Basic Required,45,PRE,CO,S/U,YEAR,SEM,PRE มอค,CO,PRE Reg Chula,CO,note
2100111,EXPL ENG WORLD,3,,,,1,2,,,,,
2301107,CALCULUS I,3,,,,1,2,,,,,
2301108,CALCULUS II,3,2301107,,,1,2,2301107,,230117,,
2302127,GEN CHEM,3,,,,1,2,,,,,
2302163,GEN CHEM LAB,1,,,,1,2,,,,,
2304103,GEN PHYS I,3,,,,1,2,,,,,
2304104,GEN PHYS II,3,,,,1,2,,,,,
2304183,GEN PHYS LAB I,1,,,,1,2,,,,,
2304184,GEN PHYS LAB II,1,,,,1,2,,,,,
5500111,EXP ENG I,3,,,,1,2,,,,,
5500112,EXP ENG II,3,,,,1,2,,,,,
2103201,INTRO MECH DESGN,3,,,,2,1,,,,,
2301215,MULTIVAR CALCULUS,3,2301108,,,2,1,2301108,,2301102 OR 2301108 OR 2301118,,
2301216,LIN ALG DIFF EQ,3,2301108,,,2,2,2301108,,2301108 OR 2301118,,
2104253,ENG STAT I,3,,,,3,1,,,,,
5500208,COM PRES SKIL,3,5500112,,,3,2,5500116 or 500112,,5500112,,"""and"" in มอค AE, 5500116 not in REG"
5500308,TECH WRIT ENG,3,5500208,,,4,2,5500208,,5500208,,
